TELEFONO;OPERADORA;MONTO;ESTABLECIMIENTO;EMPRESA;FECHA_HORA
999814037;Movistar;87.73;EPHIMERO;UBER;25/4/2024
984036935;Movistar;6.49;Canva* 04000-127565;CANVA;25/1/2024
993261810;Movistar;5.99;MICROSOFT*MICROSOFT;MICROSOFT;7/8/2024
990735185;CLARO;10.99;GOOGLE *YouTube;GOOGLE;25/6/2024
995586271;CLARO;10.57;UBR* PENDING.UBER.C;UBER;13/5/2024
983992289;Movistar;5.99;APPLE.COM/BILL;APPLE;26/5/2024
999774670;CLARO;451.07;COPA;PAYPAL;10/6/2024
998011231;Movistar;73.00;SABAI BEER GARDEN;UBER;18/6/2024
992969267;Movistar;23.00;FACEBK UUUS4U7F32;FACEBOOK;11/7/2024
960945222;Movistar;22.43;EPC*EPIC GAMES STOR;HOSTGATOR;8/5/2024
997282196;CLARO;2.65;Didi Mexico;MICROSOFT;31/3/2024
987780430;Movistar;239.75;TREE HOUSE;HOSTGATOR;7/3/2024
987061289;Movistar;;;;31/5/2024
984015019;CLARO;76.00;AMZN MKTP US AMZN.C;STARPLUS;20/3/2024
987061289;Movistar;56.10;GOZA;GODADDY;3/4/2024
992981310;Movistar;6.67;UBR* PENDING.UBER.C;UBER;26/7/2024
999814759;Movistar;4.55;UBR* PENDING.UBER.C;UBER;20/5/2024
960782130;CLARO;213.59;ODISEA;GODADDY;3/4/2024
998640855;Movistar;6.49;Spotify;Spotify;26/1/2024
995902673;Movistar;741.20;SKYAIRLINES STPVWM;AIRBNB;19/5/2024
987605219;Movistar;225.28;MARCONI INTERNATION;AMAZON;14/5/2024
995094725;Movistar;5.25;UBER * PENDING;UBER;4/3/2024
995451089;Movistar;64.42;ANANKE CIA LTDA;CANVA;17/4/2024
993351337;CLARO;157.35;NUUM;UBER;17/3/2024
995495659;Movistar;86.98;FROZEN GARDEN 8 CO ;ADOBE;4/3/2024
984433489;CLARO;6.94;UBR* PENDING.UBER.C;UBER;8/8/2024
988648345;Movistar;4.41;UBER * PENDING;UBER;13/7/2024
980579679;CLARO;6.99;PLAYSTATION NETWORK;AIRBNB;3/5/2024
987395148;CLARO;79.90;AMZN Mktp US;STARPLUS;24/6/2024
992281457;CLARO;11.02;UBER *TRIP;UBER;26/3/2024
984706882;Movistar;19.99;APPLE.COM/BILL;APPLE;10/2/2024
994191447;Movistar;2.21;UBR* PENDING.UBER.C;UBER;30/6/2024
998370115;Movistar;6.98;APPLE.COM/BILL;APPLE;14/2/2024
967711342;CLARO;13.42;UBER *TRIP;UBER;2/2/2024
