TELEFONO;OPERADORA;MONTO;ESTABLECIMIENTO;EMPRESA;FECHA_HORA
999814037;Movistar;87.73;EPHIMERO;UBER;2024-02-23
984036935;Movistar;6.49;Canva* 04000-127565;CANVA;2024-06-11
993261810;Movistar;5.99;MICROSOFT*MICROSOFT;MICROSOFT;2024-06-14
990735185;CLARO;10.99;GOOGLE *YouTube;GOOGLE;2024-02-14
995586271;CLARO;10.57;UBR* PENDING.UBER.C;UBER;2024-01-13
983992289;Movistar;5.99;APPLE.COM/BILL;APPLE;2024-07-26
999774670;CLARO;451.07;COPA;PAYPAL;2024-05-21
998011231;Movistar;73.00;SABAI BEER GARDEN;UBER;2024-06-27
992969267;Movistar;23.00;FACEBK UUUS4U7F32;FACEBOOK;2024-05-26
960945222;Movistar;22.43;EPC*EPIC GAMES STOR;HOSTGATOR;2024-04-18
997282196;CLARO;2.65;Didi Mexico;MICROSOFT;2024-05-07
987780430;Movistar;239.75;TREE HOUSE;HOSTGATOR;2024-01-16
987061289;Movistar;;;;2024-04-21
984015019;CLARO;76.00;AMZN MKTP US AMZN.C;STARPLUS;2024-07-08
987061289;Movistar;56.10;GOZA;GODADDY;2024-03-08
992981310;Movistar;6.67;UBR* PENDING.UBER.C;UBER;2024-04-25
999814759;Movistar;4.55;UBR* PENDING.UBER.C;UBER;2024-03-26
960782130;CLARO;213.59;ODISEA;GODADDY;2024-05-30
998640855;Movistar;6.49;Spotify;Spotify;2024-02-27
995902673;Movistar;741.20;SKYAIRLINES STPVWM;AIRBNB;2024-06-11
987605219;Movistar;225.28;MARCONI INTERNATION;AMAZON;2024-03-16
995094725;Movistar;5.25;UBER * PENDING;UBER;2024-07-03
995451089;Movistar;64.42;ANANKE CIA LTDA;CANVA;2024-06-05
993351337;CLARO;157.35;NUUM;UBER;2024-08-19
995495659;Movistar;86.98;FROZEN GARDEN 8 CO ;ADOBE;2024-02-12
984433489;CLARO;6.94;UBR* PENDING.UBER.C;UBER;2024-03-20
988648345;Movistar;4.41;UBER * PENDING;UBER;2024-08-25
980579679;CLARO;6.99;PLAYSTATION NETWORK;AIRBNB;2024-03-03
987395148;CLARO;79.90;AMZN Mktp US;STARPLUS;2024-03-16
992281457;CLARO;11.02;UBER *TRIP;UBER;2024-06-08
984706882;Movistar;19.99;APPLE.COM/BILL;APPLE;2024-04-03
994191447;Movistar;2.21;UBR* PENDING.UBER.C;UBER;2024-08-26
998370115;Movistar;6.98;APPLE.COM/BILL;APPLE;2024-08-30
967711342;CLARO;13.42;UBER *TRIP;UBER;2024-05-28
995018306;Movistar;6.49;Spotify P27F90BB79;Spotify;2024-01-15
984456453;CLARO;19.99;APPLE.COM/BILL;APPLE;2024-07-14
994788838;CLARO;123.00;HUMALIWO;AMAZON;2024-07-23
984380692;Movistar;;;;2024-04-24
960535560;Movistar;59.51;CASA CABANA;CANVA;2024-04-11
998807099;Movistar;60.00;SEGAFREDO;ZARA;2024-06-14
983943071;Movistar;37.21;shein.co.uk;SHOPIFY;2024-08-28
995476639;Movistar;307.44;DELUXE DISCOTEC;UBER;2024-02-12
999814759;Movistar;6.33;UBR* PENDING.UBER.C;UBER;2024-03-20
981922446;Movistar;6.49;Spotify P27F90BDCE;Spotify;2024-05-23
939949221;CLARO;72.70;AMZN Mktp US;STARPLUS;2024-05-25
990081468;CLARO;12.99;PAYPAL *CANVAPTYLIM;PAYPAL;2024-07-10
979180073;CNT;8.73;UBER * PENDING;UBER;2024-08-25
999841940;Movistar;5.96;UBR* PENDING.UBER.C;UBER;2024-02-01
996016138;Movistar;12.90;APPLE.COM/BILL;APPLE;2024-04-17
993269612;CLARO;65.98;LA PORTENITA;Spotify;2024-08-04
992981310;Movistar;6.65;UBR* PENDING.UBER.C;UBER;2024-06-13
999020846;Movistar;262.06;AMZN Mktp US;STARPLUS;2024-04-02
962705179;CLARO;122.32;RISTORANTE LUCCA S ;SHOPIFY;2024-06-21
983943071;Movistar;54.94;shein.co.uk;SHOPIFY;2024-01-01
992666502;Movistar;60.00;CAMINO DEL SOL REAL;GOOGLE;2024-08-09
996466069;CLARO;;;;2024-06-13
978760144;Movistar;2.99;APPLE.COM/BILL;APPLE;2024-01-01
999059096;Movistar;35.00;FACEBK 5CXMNVTXL2;FACEBOOK;2024-03-22
988373405;CLARO;3.73;UBR* PENDING.UBER.C;UBER;2024-01-18
958922907;Movistar;5.98;UBR* PENDING.UBER.C;UBER;2024-01-03
996069291;Movistar;2.99;APPLE.COM/BILL;APPLE;2024-05-01
987021181;CNT;4.00;UBR* PENDING.UBER.C;UBER;2024-05-09
999185317;CLARO;3.20;UBR* PENDING.UBER.C;UBER;2024-05-27
